Item #,Data Order,Data Element,Form Version,Packet,Form ID,UDS Question,Data Type,Data Length,Column 1,Column 2,RANGE1,RANGE2,MISS1,MISS2,MISS3,MISS4,MISS5,MISS6,VAL1,VAL2,VAL3,VAL4,VAL5,VAL6,VAL7,VAL8,VAL9,VAL10,VAL11,VAL12,VAL1D,VAL2D,VAL3D,VAL4D,VAL5D,VAL6D,VAL7D,VAL8D,VAL9D,VAL10D,VAL11D,VAL12D,BLANKS1,BLANKS2,BLANKS3,BLANKS4,BLANKS5,SKIPS1,SKIPS2
5a6,19,MOMMOE,3,I,A3,Mother - Method of evaluation,Num,1,443,443,1,7,.,.,.,.,.,.,1,2,3,4,5,6,7,.,.,.,.,.,Autopsy,Examination,Medical record review from formal dementia evaluation,Review of general medical records AND co-participant and/or subject telephone interview,Review of general medical records only,Subject and/or co-participant telephone interview,Family report,,,,,,Blank if Question 5a4 MOMNEUR = 8 (N/A),Blank if Question 5a4 MOMNEUR = 9 (Unknown),,,,,
5a7,20,MOMAGEO,3,I,A3,Mother - Age of onset,Num,3,445,447,0,110,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 54MOMNEUR = 8 (N/A),Blank if Question 54MOMNEUR = 9 (Unknown),,,,,
5b1,21,DADMOB,3,I,A3,Father - Birth month,Num,2,449,450,1,12,99,.,.,.,.,.,.,99,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,,,,,,,
5b2,22,DADYOB,3,I,A3,Father - Birth year,Num,4,452,455,1850,2014,9999,.,.,.,.,.,.,9999,.,.,.,.,.,.,.,.,.,.,,Year Unknown,,,,,,,,,,,,,,,,,
5b3,23,DADDAGE,3,I,A3,Father - Age at death,Num,3,457,459,0,110,888,999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,
5b4,24,DADNEUR,3,I,A3,Father - Neurological problem,Num,1,461,461,1,5,8,9,.,.,.,.,1,2,3,4,5,8,9,.,.,.,.,.,Cognitive impairment/behavior change,Parkinsonism,ALS,Other neurologic condition such as multiple sclerosis or stroke,"Psychiatric condition such as schizophrenia, bipolar disorder, or alcoholism","N/A, no neurological problem or psychiatric condition",Unknown,,,,,,,,,,,"If Question 5b4 DADNEUR = 8 (N/A), then skip the remaining questions in the row","If Question 5b4 DADNEUR = 9 (Unknown), then skip the remaining questions in the row"
5b5,25,DADPRDX,3,I,A3,Father - Primary diagnosis,Num,3,463,465,40,490,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Specific Diagnosis Unknown,,,,,,,,,,,Blank if Question 5b4 DADNEUR = 8 (N/A),Blank if Question 5b4 DADNEUR = 9 (Unknown),,,,,
5b6,26,DADMOE,3,I,A3,Father - Method of evaluation,Num,1,467,467,1,7,.,.,.,.,.,.,1,2,3,4,5,6,7,.,.,.,.,.,Autopsy,Examination,Medical record review from formal dementia evaluation,Review of general medical records AND co-participant and/or subject telephone interview,Review of general medical records only,Subject and/or co-participant telephone interview,Family report,,,,,,Blank if Question 5b4 DADNEUR = 8 (N/A),Blank if Question 5b4 DADNEUR = 9 (Unknown),,,,,
5b7,27,DADAGEO,3,I,A3,Father - Age of onset,Num,3,469,471,0,110,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 5b4 DADNEUR = 8 (N/A),Blank if Question 5b4 DADNEUR = 9 (Unknown),,,,,
6,28,SIBS,3,I,A3,Number of full siblings?,Num,2,473,474,0,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,If Question 6 = 0 then skip to Question 7,
6a1,29,SIB1MOB,3,I,A3,Sibling 1 - Birth month,Num,2,476,477,1,12,99,.,.,.,.,.,.,99,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6a2,30,SIB1YOB,3,I,A3,Sibling 1 - Birth year,Num,4,479,482,1875,2014,9999,.,.,.,.,.,.,9999,.,.,.,.,.,.,.,.,.,.,,Year Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6a3,31,SIB1AGD,3,I,A3,Sibling 1 - Age at death,Num,3,484,486,0,110,888,999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6a4,32,SIB1NEU,3,I,A3,Sibling 1 - Neurological problem,Num,1,488,488,1,5,8,9,.,.,.,.,1,2,3,4,5,8,9,.,.,.,.,.,Cognitive impairment/behavior change,Parkinsonism,ALS,Other neurologic condition such as multiple sclerosis or stroke,"Psychiatric condition such as schizophrenia, bipolar disorder, or alcoholism","N/A, no neurological problem or psychiatric condition",Unknown,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,"If Question 6a4 SIB1NEU = 8 (N/A), then skip the remaining questions in the row","If Question 6a4 SIB1NEU = 9 (Unknown), then skip the remaining questions in the row"
6a5,33,SIB1PDX,3,I,A3,Sibling 1 - Primary diagnosis,Num,3,490,492,40,490,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Specific Diagnosis Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6a4 SIB1NEU = 8 (N/A),Blank if Question 6a4 SIB1NEU = 9 (Unknown),,,,
6a6,34,SIB1MOE,3,I,A3,Sibling 1 - Method of evaluation,Num,1,494,494,1,7,.,.,.,.,.,.,1,2,3,4,5,6,7,.,.,.,.,.,Autopsy,Examination,Medical record review from formal dementia evaluation,Review of general medical records AND co-participant and/or subject telephone interview,Review of general medical records only,Subject and/or co-participant telephone interview,Family report,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6a4 SIB1NEU = 8 (N/A),Blank if Question 6a4 SIB1NEU = 9 (Unknown),,,,
6a7,35,SIB1AGO,3,I,A3,Sibling 1 - Age of onset,Num,3,496,498,0,110,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6a4 SIB1NEU = 8 (N/A),Blank if Question 6a4 SIB1NEU = 9 (Unknown),,,,
6b1,36,SIB2MOB,3,I,A3,Sibling 2 - Birth month,Num,2,500,501,1,12,99,.,.,.,.,.,.,99,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6b2,37,SIB2YOB,3,I,A3,Sibling 2 - Birth year,Num,4,503,506,1875,2014,9999,.,.,.,.,.,.,9999,.,.,.,.,.,.,.,.,.,.,,Year Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6b3,38,SIB2AGD,3,I,A3,Sibling 2 - Age at death,Num,3,508,510,0,110,888,999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6b4,39,SIB2NEU,3,I,A3,Sibling 2 - Neurological problem,Num,1,512,512,1,5,8,9,.,.,.,.,1,2,3,4,5,8,9,.,.,.,.,.,Cognitive impairment/behavior change,Parkinsonism,ALS,Other neurologic condition such as multiple sclerosis or stroke,"Psychiatric condition such as schizophrenia, bipolar disorder, or alcoholism","N/A, no neurological problem or psychiatric condition",Unknown,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,"If Question 6b4 SIB2NEU = 8 (N/A), then skip the remaining questions in the row","If Question 6b4 SIB2NEU = 9 (Unknown), then skip the remaining questions in the row"
6b5,40,SIB2PDX,3,I,A3,Sibling 2 - Primary diagnosis,Num,3,514,516,40,490,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Specific Diagnosis Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6b4 SIB2NEU = 8 (N/A),Blank if Question 6b4 SIB2NEU = 9 (Unknown),,,,
6b6,41,SIB2MOE,3,I,A3,Sibling 2 - Method of evaluation,Num,1,518,518,1,7,.,.,.,.,.,.,1,2,3,4,5,6,7,.,.,.,.,.,Autopsy,Examination,Medical record review from formal dementia evaluation,Review of general medical records AND co-participant and/or subject telephone interview,Review of general medical records only,Subject and/or co-participant telephone interview,Family report,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6b4 SIB2NEU = 8 (N/A),Blank if Question 6b4 SIB2NEU = 9 (Unknown),,,,
6b7,42,SIB2AGO,3,I,A3,Sibling 2 - Age of onset,Num,3,520,522,0,110,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6b4 SIB2NEU = 8 (N/A),Blank if Question 6b4 SIB2NEU = 9 (Unknown),,,,
6c1,43,SIB3MOB,3,I,A3,Sibling 3 - Birth month,Num,2,524,525,1,12,99,.,.,.,.,.,.,99,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6c2,44,SIB3YOB,3,I,A3,Sibling 3 - Birth year,Num,4,527,530,1875,2014,9999,.,.,.,.,.,.,9999,.,.,.,.,.,.,.,.,.,.,,Year Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6c3,45,SIB3AGD,3,I,A3,Sibling 3 - Age at death,Num,3,532,534,0,110,888,999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6c4,46,SIB3NEU,3,I,A3,Sibling 3 - Neurological problem,Num,1,536,536,1,5,8,9,.,.,.,.,1,2,3,4,5,8,9,.,.,.,.,.,Cognitive impairment/behavior change,Parkinsonism,ALS,Other neurologic condition such as multiple sclerosis or stroke,"Psychiatric condition such as schizophrenia, bipolar disorder, or alcoholism","N/A, no neurological problem or psychiatric condition",Unknown,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,"If Question 6c4 SIB3NEU = 8 (N/A), then skip the remaining questions in the row","If Question 6c4 SIB3NEU = 9 (Unknown), then skip the remaining questions in the row"
6c5,47,SIB3PDX,3,I,A3,Sibling 3 - Primary diagnosis,Num,3,538,540,40,490,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Specific Diagnosis Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6c4 SIB3NEU = 8 (N/A),Blank if Question 6c4 SIB3NEU = 9 (Unknown),,,,
6c6,48,SIB3MOE,3,I,A3,Sibling 3 - Method of evaluation,Num,1,542,542,1,7,.,.,.,.,.,.,1,2,3,4,5,6,7,.,.,.,.,.,Autopsy,Examination,Medical record review from formal dementia evaluation,Review of general medical records AND co-participant and/or subject telephone interview,Review of general medical records only,Subject and/or co-participant telephone interview,Family report,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6c4 SIB3NEU = 8 (N/A),Blank if Question 6c4 SIB3NEU = 9 (Unknown),,,,
6c7,49,SIB3AGO,3,I,A3,Sibling 3 - Age of onset,Num,3,544,546,0,110,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6c4 SIB3NEU = 8 (N/A),Blank if Question 6c4 SIB3NEU = 9 (Unknown),,,,
6d1,50,SIB4MOB,3,I,A3,Sibling 4 - Birth month,Num,2,548,549,1,12,99,.,.,.,.,.,.,99,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6d2,51,SIB4YOB,3,I,A3,Sibling 4 - Birth year,Num,4,551,554,1875,2014,9999,.,.,.,.,.,.,9999,.,.,.,.,.,.,.,.,.,.,,Year Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6d3,52,SIB4AGD,3,I,A3,Sibling 4 - Age at death,Num,3,556,558,0,110,888,999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6d4,53,SIB4NEU,3,I,A3,Sibling 4 - Neurological problem,Num,1,560,560,1,5,8,9,.,.,.,.,1,2,3,4,5,8,9,.,.,.,.,.,Cognitive impairment/behavior change,Parkinsonism,ALS,Other neurologic condition such as multiple sclerosis or stroke,"Psychiatric condition such as schizophrenia, bipolar disorder, or alcoholism","N/A, no neurological problem or psychiatric condition",Unknown,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,"If Question 6d4 SIB4NEU = 8 (N/A), then skip the remaining questions in the row","If Question 6d4 SIB4NEU = 9 (Unknown), then skip the remaining questions in the row"
6d5,54,SIB4PDX,3,I,A3,Sibling 4 - Primary diagnosis,Num,3,562,564,40,490,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Specific Diagnosis Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6d4 SIB4NEU = 8 (N/A),Blank if Question 6d4 SIB4NEU = 9 (Unknown),,,,
6d6,55,SIB4MOE,3,I,A3,Sibling 4 - Method of evaluation,Num,1,566,566,1,7,.,.,.,.,.,.,1,2,3,4,5,6,7,.,.,.,.,.,Autopsy,Examination,Medical record review from formal dementia evaluation,Review of general medical records AND co-participant and/or subject telephone interview,Review of general medical records only,Subject and/or co-participant telephone interview,Family report,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6d4 SIB4NEU = 8 (N/A),Blank if Question 6d4 SIB4NEU = 9 (Unknown),,,,
6d7,56,SIB4AGO,3,I,A3,Sibling 4 - Age of onset,Num,3,568,570,0,110,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6d4 SIB4NEU = 8 (N/A),Blank if Question 6d4 SIB4NEU = 9 (Unknown),,,,
6e1,57,SIB5MOB,3,I,A3,Sibling 5 - Birth month,Num,2,572,573,1,12,99,.,.,.,.,.,.,99,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6e2,58,SIB5YOB,3,I,A3,Sibling 5 - Birth year,Num,4,575,578,1875,2014,9999,.,.,.,.,.,.,9999,.,.,.,.,.,.,.,.,.,.,,Year Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6e3,59,SIB5AGD,3,I,A3,Sibling 5 - Age at death,Num,3,580,582,0,110,888,999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6e4,60,SIB5NEU,3,I,A3,Sibling 5 - Neurological problem,Num,1,584,584,1,5,8,9,.,.,.,.,1,2,3,4,5,8,9,.,.,.,.,.,Cognitive impairment/behavior change,Parkinsonism,ALS,Other neurologic condition such as multiple sclerosis or stroke,"Psychiatric condition such as schizophrenia, bipolar disorder, or alcoholism","N/A, no neurological problem or psychiatric condition",Unknown,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,"If Question 6e4 SIB5NEU = 8 (N/A), then skip the remaining questions in the row","If Question 6e4 SIB5NEU = 9 (Unknown), then skip the remaining questions in the row"
6e5,61,SIB5PDX,3,I,A3,Sibling 5 - Primary diagnosis,Num,3,586,588,40,490,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Specific Diagnosis Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6e4 SIB5NEU = 8 (N/A),Blank if Question 6e4 SIB5NEU = 9 (Unknown),,,,
6e6,62,SIB5MOE,3,I,A3,Sibling 5 - Method of evaluation,Num,1,590,590,1,7,.,.,.,.,.,.,1,2,3,4,5,6,7,.,.,.,.,.,Autopsy,Examination,Medical record review from formal dementia evaluation,Review of general medical records AND co-participant and/or subject telephone interview,Review of general medical records only,Subject and/or co-participant telephone interview,Family report,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6e4 SIB5NEU = 8 (N/A),Blank if Question 6e4 SIB5NEU = 9 (Unknown),,,,
6e7,63,SIB5AGO,3,I,A3,Sibling 5 - Age of onset,Num,3,592,594,0,110,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6e4 SIB5NEU = 8 (N/A),Blank if Question 6e4 SIB5NEU = 9 (Unknown),,,,
6f1,64,SIB6MOB,3,I,A3,Sibling 6 - Birth month,Num,2,596,597,1,12,99,.,.,.,.,.,.,99,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6f2,65,SIB6YOB,3,I,A3,Sibling 6 - Birth year,Num,4,599,602,1875,2014,9999,.,.,.,.,.,.,9999,.,.,.,.,.,.,.,.,.,.,,Year Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6f3,66,SIB6AGD,3,I,A3,Sibling 6 - Age at death,Num,3,604,606,0,110,888,999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6f4,67,SIB6NEU,3,I,A3,Sibling 6 - Neurological problem,Num,1,608,608,1,5,8,9,.,.,.,.,1,2,3,4,5,8,9,.,.,.,.,.,Cognitive impairment/behavior change,Parkinsonism,ALS,Other neurologic condition such as multiple sclerosis or stroke,"Psychiatric condition such as schizophrenia, bipolar disorder, or alcoholism","N/A, no neurological problem or psychiatric condition",Unknown,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,"If Question 6f4 SIB6NEU = 8 (N/A), then skip the remaining questions in the row","If Question 6f4 SIB6NEU = 9 (Unknown), then skip the remaining questions in the row"
6f5,68,SIB6PDX,3,I,A3,Sibling 6 - Primary diagnosis,Num,3,610,612,40,490,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Specific Diagnosis Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6f4 SIB6NEU = 8 (N/A),Blank if Question 6f4 SIB6NEU = 9 (Unknown),,,,
6f6,69,SIB6MOE,3,I,A3,Sibling 6 - Method of evaluation,Num,1,614,614,1,7,.,.,.,.,.,.,1,2,3,4,5,6,7,.,.,.,.,.,Autopsy,Examination,Medical record review from formal dementia evaluation,Review of general medical records AND co-participant and/or subject telephone interview,Review of general medical records only,Subject and/or co-participant telephone interview,Family report,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6f4 SIB6NEU = 8 (N/A),Blank if Question 6f4 SIB6NEU = 9 (Unknown),,,,
6f7,70,SIB6AGO,3,I,A3,Sibling 6 - Age of onset,Num,3,616,618,0,110,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6f4 SIB6NEU = 8 (N/A),Blank if Question 6f4 SIB6NEU = 9 (Unknown),,,,
6g1,71,SIB7MOB,3,I,A3,Sibling 7 - Birth month,Num,2,620,621,1,12,99,.,.,.,.,.,.,99,.,.,.,.,.,.,.,.,.,.,,Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6g2,72,SIB7YOB,3,I,A3,Sibling 7 - Birth year,Num,4,623,626,1875,2014,9999,.,.,.,.,.,.,9999,.,.,.,.,.,.,.,.,.,.,,Year Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6g3,73,SIB7AGD,3,I,A3,Sibling 7 - Age at death,Num,3,628,630,0,110,888,999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,,
6g4,74,SIB7NEU,3,I,A3,Sibling 7 - Neurological problem,Num,1,632,632,1,5,8,9,.,.,.,.,1,2,3,4,5,8,9,.,.,.,.,.,Cognitive impairment/behavior change,Parkinsonism,ALS,Other neurologic condition such as multiple sclerosis or stroke,"Psychiatric condition such as schizophrenia, bipolar disorder, or alcoholism","N/A, no neurological problem or psychiatric condition",Unknown,,,,,,Blank if Question 6 SIBS = 0 (No),,,,,"If Question 6g4 SIB7NEU = 8 (N/A), then skip the remaining questions in the row","If Question 6g4 SIB7NEU = 9 (Unknown), then skip the remaining questions in the row"
6g5,75,SIB7PDX,3,I,A3,Sibling 7 - Primary diagnosis,Num,3,634,636,40,490,999,.,.,.,.,.,.,999,.,.,.,.,.,.,.,.,.,.,,Specific Diagnosis Unknown,,,,,,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6g4 SIB7NEU = 8 (N/A),Blank if Question 6g4 SIB7NEU = 9 (Unknown),,,,
6g6,76,SIB7MOE,3,I,A3,Sibling 7 - Method of evaluation,Num,1,638,638,1,7,.,.,.,.,.,.,1,2,3,4,5,6,7,.,.,.,.,.,Autopsy,Examination,Medical record review from formal dementia evaluation,Review of general medical records AND co-participant and/or subject telephone interview,Review of general medical records only,Subject and/or co-participant telephone interview,Family report,,,,,,Blank if Question 6 SIBS = 0 (No),Blank if Question 6g4 SIB7NEU = 8 (N/A),Blank if Question 6g4 SIB7NEU = 9 (Unknown),,,,
