Item #,Data Order,Data Element,Form Version,Packet,Form ID,UDS Question,Data Type,Data Length,Column 1,Column 2,RANGE1,RANGE2,MISS1,MISS2,MISS3,MISS4,MISS5,MISS6,VAL1,VAL2,VAL3,VAL4,VAL5,VAL6,VAL7,VAL8,VAL9,VAL10,VAL11,VAL12,VAL1D,VAL2D,VAL3D,VAL4D,VAL5D,VAL6D,VAL7D,VAL8D,VAL9D,VAL10D,VAL11D,VAL12D,BLANKS1,BLANKS2,BLANKS3,BLANKS4,BLANKS5,SKIPS1,SKIPS2
11b3,17,ARTSPIN,3,I,D2,Arthritis region affected - spine,Num,1,195,195,0,1,.,.,.,.,.,.,0,1,.,.,.,.,.,.,.,.,.,.,No,Yes,,,,,,,,,,,Blank if Question 11 ARTH = 0 (No),Blank if Question 11 ARTH = 8 (Not assessed),,,,,
11b4,18,ARTUNKN,3,I,D2,Arthritis region affected - unknown,Num,1,197,197,0,1,.,.,.,.,.,.,0,1,.,.,.,.,.,.,.,.,.,.,No,Yes,,,,,,,,,,,Blank if Question 11 ARTH = 0 (No),Blank if Question 11 ARTH = 8 (Not assessed),,,,,
12,19,URINEINC,3,I,D2,"Incontinence, urinary",Num,1,199,199,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,,,,,,,
13,20,BOWLINC,3,I,D2,"Incontinence, bowel",Num,1,201,201,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,,,,,,,
14,21,SLEEPAP,3,I,D2,Sleep apnea,Num,1,203,203,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,,,,,,,
15,22,REMDIS,3,I,D2,REM sleep behavior disorder (RBD),Num,1,205,205,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,,,,,,,
16,23,HYPOSOM,3,I,D2,Hyposomnia/insomnia,Num,1,207,207,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,,,,,,,
17,24,SLEEPOTH,3,I,D2,Other sleep disorder,Num,1,209,209,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,,,,,,,
17a,25,SLEEPOTX,3,I,D2,Other sleep disorder specification,Char,60,211,270,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 17 SLEEPOTH ne 1 (Yes),,,,,,
18,26,ANGIOCP,3,I,D2,"Carotid procedure: angioplasty, endarterectomy, or stent",Num,1,272,272,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,,,,,,,
19,27,ANGIOPCI,3,I,D2,Percutaneous coronary intervention: angioplasty and/or stent,Num,1,274,274,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,,,,,,,
20,28,PACEMAKE,3,I,D2,Procedure: pacemaker and/or defibrillator,Num,1,276,276,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,,,,,,,
21,29,HVALVE,3,I,D2,Procedure: heart valve replacement or repair,Num,1,278,278,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,,,,,,,
22,30,ANTIENC,3,I,D2,Other medical conditions or procedures not listed above,Num,1,280,280,0,1,8,.,.,.,.,.,0,1,8,.,.,.,.,.,.,.,.,.,No,Yes,Not assessed,,,,,,,,,,,,,,,,
22a,31,ANTIENCX,3,I,D2,Other medical conditions specification,Char,60,282,341,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 22 ANTIENC ne 1 (Yes),,,,,,
23,32,OTHCOND,3,I,D2,Other medical conditions or procedures not listed above,Num,1,343,343,0,1,,.,.,.,.,.,0,1,,.,.,.,.,.,.,.,.,.,No,Yes,,,,,,,,,,,,,,,,,
23a,33,OTHCONDX,3,I,D2,Other medical conditions specification,Char,60,345,404,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,Blank if Question 23 OTHCOND ne 1 (Yes),,,,,,
